Time,	PaWBS,	PaWPC,	PaDBS,	PaDPC,	JcWBS,	JcWPC,	JcDBS,	 JcDPC,	JcuWBS,	JcuWPC,	JcuDBS,	JcuDPC,	CeWBS,	CeWPC,	CeDBS,	CeDPC,	FdWBS,	FdWPC,	FdDBS,	FdDPC
0,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100,	100
1,	81,	82,	86,	90.5,	80.5,	85,	85,	95,	88.46,	106.15,	97.69,	97.69,	86,	83,	93.5,	97.5,	80.5,	84,	94.5,	97
2,	60,	73,	78,	73.5, 52.5,	70.5,	62.5,	78,	42.31,	76.92,	61.54,	59.23,	61,	74.5,	73.5,	88,	52,	70.5,	70.5,	84
3,	46,	66.5,	71,	61.5,	36.5,	60.5,	48.5,	66,	23.08,	58.46,	38.46,	36.15,	45.5,	69,	60.5,	80,	36.5,	61,	56.5,	73
4,	36.5,	60,	64.5,	52,	26.5,	51.5,	37.5,	55.5,	13.08,	46.15,	26.15,	24.62,	34,	63.5,	50.5,	74,	26,	53,	46,	64.5
5,	27,	54.5,	59,	43.5,	17.5,	43.5,	27.5,	47,	6.15,	34.62,	18.46,	16.15,	25,	58.50,	40.5,	67.5,	18,	44.5,	36,	56
6,	21,	49,	53.5,	36.5,	13,	38.5,	22.5,	41,	3.85,	27.69,	11.54,	10,	19,	54,	33.5,	62.5,	13,	38.5,	29.5,	50
7,	16.5,	45.5,	50,	30.5,	9.5,	33,	17.5,	35,	2.31,	21.54,	9.23,	6.92,	14.5,	50,	28.5,	57,	9,	34,	24,	45
8,	12,	40.5,	44,	25,	6.5,	29,	13,	28.5,	1.54,	16.15,	6.15,	3.85,	10.5,	45.5,	22.5,	52,	6.5,	28.5,	19,	39
9,	9.5,	37,	41,	21,	5,	25,	10.5,	24.5,	1.54,	12.31,	5.38,	3.08,	8.5,	41.5,	18,	48,	5,	25,	15,	34
10,	7,	33.5,	37,	17.5,	3.5,	20.5,	7.5,	20.5,	1.54,	9.23,	3.85,	2.31,	5.5,	37.5,	14.5,	42.5,	3.5,	21,	12,	29.5
11,	5,	30,	34,	15,	2.5,	17.5,	6.5,	17,	1.54,	6.92,	3.85,	2.31,	4,	35,	12,	39.5,	2.5,	17.5,	10,	26
12,	4,	27.5,	31.5,	12,	2.5,	15.5,	5,	15.5,	0,	5.38,	3.08,	1.54,	3.5,	31.5, 10,	37,	2,	16,	7.5,	23.5
