Time,NTPM1,NTPM2,NTSV,CTPM1,CTPM2,CTSV
0,100,100,100,100,100,100
8,91.26,95.63,86.89,54.86,59.50,66.80
15,90.39,91.48,86.45,46.22,44.23,55.29
30,90.40,82.97,86.25,34.91,38.67,50.18
45,79.91,82.76,86.26,31.13,34.01,41.75
60,79.05,83.86,85.83,29.56,33.54,39.74
90,74.04,83.23,80.60,29.08,30.85,42.13
120,73.63,79.09,81.06,27.49,28.81,40.54
150,67.31,79.77,77.80,28.77,28.99,41.38
180,67.11,71.48,75.64,24.53,28.73,40.24
210,67.35,70.63,76.09,24.49,26.70,34.66
240,36.54,39.38,51.41,19.58,16.92,27.54
270,35.03,37.65,43.56,17.32,19.09,19.31
315,27.84,29.59,31.34,5.53,5.75,7.53
