Time,GS1,GB1,GS2,GB2,MS1,MB1,MS2,MB2,KS1,KB1,KS2,KB2
0,100,100,100,100,100,100,100,100,100,100,100,100
45,85.25,82.47,,,86.99,,,,84.91,68.18,,
60,,,78.57,85.62,,,83.06,60.13,,,89.82,76.18
90,88.59,64.48,,,82.06,60.04,,,90.18,48.00,,
120,,,80.24,85.62,,,80.51,59.96,,,81.82,63.82
135,80.80,54.09,,,78.95,68.13,,,84.91,62.18,,
180,80.80,58.36,76.16,85.62,75.49,30.35,79.98,58.33,85.27,45.82,87.64,44.18
225,80.80,45.19,,,75.32,70.00,,,80.00,,,
240,,,78.95,54.09,,,80.00,56.15,,,82.91,
270,81.36,49.64,,,75.34,44.33,,,88.00,44.18,,
315,68.93,51.86,,,73.34,38.66,,,78.55,,,
360,68.37,,,,60.15,,,,79.82,,,
405,59.84,,,,57.05,,,,60.18,,,
450,54.09,,,,49.91,,,,58.00,,,
