Time,EL1,PL1,GL1,EGL,PGL,UGL,EFR,PFR,UFR,EL2,PL2,UL2,EL3,PL3,UL3
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
25,,,,,,,,,,,,,87.837,84.619,80.37
110,,,,,,,40.461,40.729,65.812,68.368,68.052,64.992,79.646,76.562,71.255
135,66.764,69.9,70.866,66.061,71.525,66.414,42.893,38.668,64.152,68.248,67.119,66.369,74.902,71.855,70.107
160,66.405,69.59,68.108,64.548,66.414,67.458,,,,,,,,,
175,65.727,70.395,69.183,63.492,63.368,67.947,40.001,37.227,60.672,69.224,66.347,65.529,76.111,78.711,73.205
235,62.822,69.99,68.052,58.05,64.386,64.562,38.646,36.322,53.32,59.443,57.38,61.528,76.44,76.378,73.198
300,,,,,,,37.198,31.114,45.89,,,,73.004,77.614,68.53
330,55.696,66.316,65.28,54.149,61.189,57.2,,,,,,,74.985,75.16,72.329
365,58.522,68.726,62.597,55.804,62.282,58.96,36.05,30.462,43.18,,,,68.721,66.128,70.445
