Time,ArCK,ArW,ArN,ArNW,AlCK,AlW,AlN,AlNW,SrCK,SrW,SrN,SrNW,SlCK,SlW,SlN,SlNW,PrCK,PrW,PrN,PrNW,PlCK,PlW,PlN,PlNW
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,75.744,72.509,78.259,78.521,51.949,54.903,57.856,57.434,75.19,66.872,79.372,79.393,70.533,62.394,78.696,75.081,71.741,69.064,78.881,74.852,71.01,71.781,76.746,75.588
7,58.419,63.159,73.861,75.513,41.153,40.773,48.641,46.531,49.844,48.602,65.296,59.75,50.635,47.588,66.53,62.465,65.419,63.899,73.527,71.17,58.942,57.653,76.933,80.957
12,57.361,61.987,74.584,75.802,40.288,38.6,48.305,47.461,48.905,45.527,63.432,57.351,47.892,46.624,63.121,62.1,65.142,64.439,72.745,70.955,57.794,55.436,75.969,78.814
15,51.848,53.838,73.711,70.786,33.98,30.21,42.358,39.915,41.452,36.723,55.642,49.898,41.142,36.723,50.97,49.187,59.054,54.983,68.029,62.279,54.311,51.708,66.994,67.899
19,50.101,47.628,71.971,68.588,22.378,20.251,34.075,31.62,39.406,33.333,50.209,48.182,32.98,28.986,43.796,41.769,53.698,50.271,59.024,55.872,49.158,45.612,63.152,59.932
24,49.63,46.681,71.082,67.664,21.946,19.435,34.16,30.446,38.325,34.297,52.541,48.149,32.608,28.891,42.8,40.396,51.986,48.473,57.267,54.216,48.851,44.555,61.306,59.776
27,45.348,43.242,65.987,60.931,16.912,16.068,26.023,23.482,37.363,36.642,49.686,48.466,27.161,26.621,37.993,37.853,42.074,47.216,54.161,54.989,39.337,43.72,58.548,57.47
31,38.621,38.555,58.821,55.83,12.338,14.87,22.077,19.089,34.993,28.636,42.792,39.656,22.842,22.791,33.237,30.87,34.383,35.514,47.727,45.818,32.895,30.531,47.08,49.713
36,39.309,35.949,58.636,55.698,11.999,15.39,20.861,19.173,31.576,28.135,41.002,39.938,22.736,23.067,32.191,30.838,32.001,33.357,45.196,43.487,31.707,28.814,45.043,46.384
43,37.47,34.995,57.274,52.956,11.681,12.891,19.698,18.412,28.04,28.072,37.553,36.877,22.35,19.916,29.05,27.688,31.873,31.028,41.947,40.797,27.951,27.751,41.21,45.168
