Time,YSF-PL,YSF-SL,MSF-PL,MSF-SL,ASF-PL,ASF-SL,MF-PL,MF-SL
0,100,100,100,100,100,100,100,100
0.250,89.740,85.062,81.339,80.960,86.868,82.924,85.040,78.198
0.500,86.090,75.271,78.422,75.802,82.259,78.893,81.888,73.812
0.750,82.131,69.422,75.198,70.299,77.556,79.833,84.100,69.382
1.000,78.679,65.523,72.424,67.306,74.938,71.513,75.816,66.760
1.500,73.733,60.864,69.013,62.760,69.737,66.270,72.818,61.279
2.000,69.949,57.772,65.046,59.253,65.687,61.852,70.219,58.399
2.500,65.914,54.628,61.917,56.668,62.840,57.851,68.363,55.096
3.000,63.071,52.222,59.723,53.693,60.052,54.321,66.071,52.412
4.000,56.254,46.521,54.444,47.723,55.268,47.041,59.200,46.799
5.000,51.234,42.800,49.948,44.031,50.784,41.899,58.218,41.928
6.000,47.901,39.654,45.518,39.369,47.227,37.191,54.764,39.100
7.000,43.210,36.231,42.098,35.641,44.171,33.209,51.711,35.480
8.000,39.546,33.531,38.896,32.592,41.199,29.409,48.811,32.514
9.000,36.469,30.881,36.049,29.307,38.666,26.682,45.883,30.264
10.000,33.782,28.498,33.422,26.493,36.239,23.474,43.450,27.408
11.000,30.712,26.022,31.356,23.907,33.827,21.082,41.171,25.660
12.000,28.148,23.913,28.766,22.437,31.713,18.862,38.103,23.790
