Time,CA,AM,CM,CAB,AMB,CMB
0,100,100,100,100,100,100
30,55.123,70.367,87.728,48.455,65.63,80.277
60,48.952,66.74,80.502,41.114,63.284,76.403
90,43.279,54.234,75.202,34.525,50.778,69.398
120,37.47,42.801,69.378,26.868,42.272,60.908
150,34.616,39.325,65.424,24.259,31.118,55.974
180,30.026,35.329,60.659,19.466,26.814,50.818
210,22.529,26.614,55.935,19.018,20.732,46.63
240,16.572,23.35,53.041,7.174,17.257,37.432
270,14.618,20.482,51.205,5.586,14.639,34.374
300,9.525,20.511,48.289,4.686,11.693,31.333
